W Wheat Futures
SEP19     507'2     514'0     502'0     506'2     505'4    -2'0       38410      507'4       51260      174525
DEC19     519'2     525'0     513'6     516'6     517'2    -2'0       13250      519'2       19187      112001
MAR20     531'4     537'0     526'4     528'4B    529'6    -1'6        4676      531'4        6651       43875
MAY20     535'2     542'2     532'4     534'0A    535'2    -2'2        1894      537'4        1665       10702
JLY20     537'4     542'2B    533'0     533'4     535'2    -3'0        1307      538'2        1156       21251
SEP20     543'2     548'6B    539'6     539'6     541'6    -3'4         138      545'2         297        2689
DEC20     554'2     559'2B    551'0     551'0     553'2    -2'4         126      555'6         291        6233
MAR21     566'6     566'6     560'6A    560'6A    561'0    -3'0          13      564'0                    1075
MAY21     565'0     566'2B    563'2A    563'2A    562'4    -3'0          10      565'4                     144
JLY21     551'6     551'6     549'4     549'4     549'4    -3'2           4      552'6                     122
SEP21      ----      ----      ----      ----     549'4    -3'2                  552'6
3300       ----     193'3B    184'4A     ----     187'2    -2'0                  189'2
3400       ----     183'3B    174'4A     ----     177'2    -2'0                  179'2
3500       ----     173'3B    164'4A     ----     167'2    -2'0                  169'2
3600       ----     163'3B    154'4A     ----     157'2    -2'0                  159'2
3700       ----     153'3B    144'4A     ----     147'2    -2'0                  149'2
3800       ----     143'4B    134'6A     ----     137'2    -2'0                  139'2
3900       ----     133'4B    124'7A     ----     127'4    -2'0                  129'4
4000       ----     123'6B    115'2A     ----     117'6    -2'0                  119'6
4100       ----     114'0B    105'4A     ----     108'1    -2'0                  110'1
4200       ----     104'4B     96'1A     ----      98'5    -2'0                  100'5                       1
4300       ----      95'1B     87'1A     ----      89'4    -1'7                   91'3                      62
4400       ----      86'1B     78'3A     ----      80'4    -1'7                   82'3                      26
4500       ----      77'3B     69'7A     ----      72'0    -1'6                   73'6                     869
4600       ----      69'0B     61'7A     ----      63'7    -1'6                   65'5                     537
4700       ----      62'0B     54'3A     ----      56'2    -1'5                   57'7                     628
4800       ----      54'5B     47'4A     ----      49'2    -1'4                   50'6                     484
4900       ----      47'7B     40'6A     ----      42'7    -1'3                   44'2          20         629
5000       ----      41'6B     35'2A     ----      37'1    -1'3                   38'4                    3213
5100       33'2      36'2B     30'3A     ----      32'1    -1'1           2       33'2           2        2471
5200       28'6      31'3B     26'1A     ----      27'5    -1'0         160       28'5         123        3816
5300       26'4      27'1B     22'3A     ----      23'6     -'7          11       24'5           5        2593
5400       ----      23'2B     19'1A     ----      20'3     -'5                   21'0                    1243
5500       ----      20'0B     16'3A     ----      17'3     -'5                   18'0           1        3940
5600       14'4      17'1B     13'7A     ----      14'7     -'4         579       15'3         786        5820
5700       13'4      14'5B     11'7A     ----      12'5     -'3          51       13'0           1        2000
5800       ----      12'4B     10'1A     ----      10'6     -'3                   11'1         280        3065
5900        9'0      10'5B      8'5A     ----       9'1     -'3           4        9'4                    2196
6000        8'6       9'0B      7'2A     ----       7'6     -'2           6        8'0          51        5611
6100       ----       7'6B      6'1A     ----       6'5     -'2                    6'7                    1686
6200       ----       6'5B      5'2A     ----       5'5     -'2                    5'7                     873
6300       ----       5'5B      4'4A     ----       4'6     -'2                    5'0           1        2608
6400       ----       4'6B      3'6A     ----       4'0     -'2                    4'2                    3488
6500       ----       4'0B      3'2A     ----       3'3     -'2                    3'5         611        6801
6600       ----       3'3B      2'6A     ----       2'7     -'2                    3'1                     674
6700       ----       2'7B      2'3A     ----       2'4     -'1                    2'5                    2321
6800       ----       2'3B      2'0A     ----       2'1     -'1                    2'2                    1632
6900       ----       2'0B      1'6A     ----       1'6     -'1                    1'7                    1054
7000       ----       1'6B      1'4A     ----       1'4     -'1                    1'5         100        2235
7100       ----       1'4B      1'2A     ----       1'2     -'1                    1'3                     157
7200       ----       1'2B     ----      ----       1'1    UNCH                    1'1                      83
7300       ----      ----      ----      ----        '7     -'1                    1'0                      63
7400         '7        '7        '7      ----        '6     -'1          10         '7                     181
7500       ----      ----      ----      ----        '5     -'1                     '6                     301
7600       ----      ----      ----      ----        '5    UNCH                     '5                      20
7700       ----      ----      ----      ----        '4    UNCH                     '4                     113
7800       ----      ----      ----      ----        '3    UNCH                     '3                      34
7900       ----      ----      ----      ----        '3    UNCH                     '3
8000       ----      ----      ----      ----        '3     +'1                     '2                     252
8100       ----      ----      ----      ----        '2    UNCH                     '2                       1
8200       ----      ----      ----      ----        '2    UNCH                     '2                      33
8300       ----      ----      ----      ----        '2     +'1                     '1                      15
8400       ----      ----      ----      ----        '1    UNCH                     '1                      13
8500       ----      ----      ----      ----        '1    UNCH                     '1                      40
8600       ----      ----      ----      ----        '1    UNCH                     '1                      22
8700       ----      ----      ----      ----        '1    UNCH                     '1                      56
8800       ----      ----      ----      ----        '1    UNCH                     '1                      82
9000       ----      ----      ----      ----        '1    UNCH                     '1
10000      ----      ----      ----      ----        '1    UNCH                     '1                       4
12000      ----      ----      ----      ----        '1    UNCH                     '1
WZ MAR20 Wheat Options CALL
2300       ----      ----      ----      ----     299'6    -1'6                  301'4
2400       ----      ----      ----      ----     289'6    -1'6                  291'4
2500       ----      ----      ----      ----     279'6    -1'6                  281'4
2600       ----      ----      ----      ----     269'6    -1'6                  271'4
2700       ----      ----      ----      ----     259'6    -1'6                  261'4
2800       ----      ----      ----      ----     249'6    -1'6                  251'4
2900       ----      ----      ----      ----     239'6    -1'6                  241'4
3000       ----      ----      ----      ----     229'6    -1'6                  231'4                      11
3100       ----      ----      ----      ----     219'6    -1'6                  221'4
3200       ----     213'2B     ----      ----     209'6    -1'6                  211'4
3300       ----     203'2B     ----      ----     199'6    -1'6                  201'4
3400       ----     193'2B     ----      ----     189'6    -1'6                  191'4
3500       ----     183'2B     ----      ----     179'6    -1'6                  181'4
3600       ----     173'2B     ----      ----     169'6    -1'6                  171'4
3700       ----     163'2B     ----      ----     159'6    -1'6                  161'4
3800       ----     154'0B    149'5A     ----     149'6    -1'6                  151'4
3900       ----     144'1B    139'6A     ----     139'7    -1'6                  141'5
4000       ----     134'3B    130'0A     ----     130'1    -1'6                  131'7
4100       ----     124'5B    120'4A     ----     120'4    -1'6                  122'2
4200       ----     115'1B    111'1A     ----     111'1    -1'6                  112'7
4300       ----     105'7B    102'0A     ----     102'0    -1'6                  103'6
4400       ----      96'6B     93'1A     ----      93'1    -1'5                   94'6
4500       ----      88'0B     84'5A     ----      84'4    -1'5                   86'1
4600       ----      80'7B     74'6A     ----      76'3    -1'4                   77'7                     745
4700       ----      71'4B     69'0A     ----      68'5    -1'4                   70'1                      35
4800       ----      64'0B     62'0A     ----      61'3    -1'3                   62'6                     354
4900       ----      57'0B     55'3A     ----      54'5    -1'3                   56'0                    1409
5000       ----      51'6B     47'2A     ----      48'3    -1'3                   49'6                    5885
5100       ----      44'4B     44'0A     ----      42'7    -1'2                   44'1                    1901
5200       ----      40'4B     37'2A     ----      37'6    -1'2                   39'0                    2057
5300       ----      36'1B     32'6A     ----      33'2    -1'1           1       34'3                    1226
5400       ----      31'5B     28'6A     ----      29'2    -1'0                   30'2                    1942
5500       ----      28'4B     25'2A     ----      25'6     -'7           9       26'5                     774
5600       ----      25'3B     22'1A     ----      22'4     -'7                   23'3                    1262
5700       ----      22'2B     19'3A     ----      19'6     -'5                   20'3                    5622
5800       ----      19'4B     17'0A     ----      17'3     -'4          50       17'7         786        4069
5900       ----      17'1B     14'7A     ----      15'1     -'4                   15'5                    3304
6000       ----      15'0B     13'1A     ----      13'2     -'3          17       13'5                     887
6100       ----      13'1B     11'4A     ----      11'4     -'3                   11'7                     269
6200       ----      11'3B     10'0A     ----      10'1     -'2                   10'3                    1015
6300       ----      10'0B      8'6A     ----       8'6     -'2                    9'0                     664
6400       ----       8'6B      7'5A     ----       7'5     -'2                    7'7                     260
6500       ----       7'5B      6'6A     ----       6'5     -'2                    6'7                     558
6600       ----       6'5B      5'7A     ----       5'6     -'2                    6'0                       6
6700       ----       5'6B      5'1A     ----       5'1     -'1                    5'2                      20
6800       ----       5'0B      4'4A     ----       4'3     -'2                    4'5                      51
6900       ----       4'3B      3'7A     ----       3'7     -'1                    4'0                      19
7000       ----       3'7B     ----      ----       3'3     -'1                    3'4                    1223
7100       ----       3'3B      3'0A     ----       3'0     -'1                    3'1
7200       ----       2'7B      2'5A     ----       2'5     -'1                    2'6                      38
7300       ----       2'4B     ----      ----       2'2     -'1                    2'3                      49
7400       ----       2'2B      2'0A     ----       2'0     -'1                    2'1                       2
7500       ----      ----       1'6A     ----       1'6     -'1                    1'7                       3
7600       ----      ----       1'4A     ----       1'4     -'1                    1'5                      61
7700       ----       1'4B     ----      ----       1'2     -'1                    1'3
7800       ----      ----      ----      ----       1'1     -'1                    1'2                      85
7900       ----      ----      ----      ----       1'0     -'1                    1'1                      43
8000       ----      ----      ----      ----        '7     -'1                    1'0                      94
8100       ----      ----      ----      ----        '6     -'1                     '7
8200       ----      ----      ----      ----        '5     -'1                     '6
8300       ----      ----      ----      ----        '5    UNCH                     '5
8400       ----      ----      ----      ----        '4     -'1                     '5
8500       ----      ----      ----      ----        '4    UNCH                     '4
WZ MAY20 Wheat Options CALL
2400       ----      ----      ----      ----     295'2    -2'2                  297'4
2500       ----      ----      ----      ----     285'2    -2'2                  287'4
2600       ----      ----      ----      ----     275'2    -2'2                  277'4
2700       ----      ----      ----      ----     265'2    -2'2                  267'4
2800       ----      ----      ----      ----     255'2    -2'2                  257'4
2900       ----      ----      ----      ----     245'2    -2'2                  247'4
3000       ----      ----      ----      ----     235'2    -2'2                  237'4
3100       ----      ----      ----      ----     225'2    -2'2                  227'4
3200       ----      ----      ----      ----     215'2    -2'2                  217'4
3300       ----      ----      ----      ----     205'2    -2'2                  207'4
3400       ----      ----      ----      ----     195'2    -2'2                  197'4
3500       ----      ----      ----      ----     185'2    -2'2                  187'4
3600       ----      ----      ----      ----     175'2    -2'2                  177'4
3700       ----      ----      ----      ----     165'2    -2'2                  167'4
3800       ----      ----      ----      ----     155'3    -2'1                  157'4
3900       ----      ----      ----      ----     145'5    -2'0                  147'5
4000       ----      ----      ----      ----     135'7    -2'0                  137'7
4100       ----      ----      ----      ----     126'3    -1'7                  128'2
4200       ----      ----      ----      ----     117'0    -1'7                  118'7
4300       ----      ----      ----      ----     107'7    -1'6                  109'5
4400       ----      ----      ----      ----      98'7    -1'7                  100'6
4500       ----      ----      ----      ----      90'3    -1'6                   92'1
4600       ----      ----      ----      ----      82'1    -1'6                   83'7
4700       ----      ----      ----      ----      74'2    -1'6                   76'0
4800       ----      ----      ----      ----      66'7    -1'5                   68'4                      15
4900       ----      ----      ----      ----      60'0    -1'5                   61'5                     800
5000       ----      ----      ----      ----      53'6    -1'3                   55'1                      29
5100       ----      ----      ----      ----      48'0    -1'2                   49'2                      73
5200       ----      ----      ----      ----      42'6    -1'1                   43'7                       6
5300       ----      ----      ----      ----      38'0    -1'0                   39'0
5400       ----      ----      ----      ----      33'6     -'7                   34'5                      25
5500       ----      ----      ----      ----      30'0     -'5                   30'5
5600       ----      ----      ----      ----      26'4     -'5                   27'1
5700       ----      ----      ----      ----      23'4     -'4                   24'0
5800       ----      ----      ----      ----      20'6     -'4                   21'2
5900       ----      ----      ----      ----      18'3     -'3                   18'6                     800
6000       ----      ----      ----      ----      16'2     -'2                   16'4                     518
6100       ----      ----      ----      ----      14'3     -'2                   14'5
6200       ----      ----      ----      ----      12'5     -'2                   12'7                       6
6300       ----      ----      ----      ----      11'2     -'1                   11'3
6400       ----      ----      ----      ----       9'7     -'2                   10'1
6500       ----      ----      ----      ----       8'6     -'1                    8'7
6600       ----      ----      ----      ----       7'6     -'1                    7'7
6700       ----      ----      ----      ----       6'7     -'1                    7'0
6800       ----      ----      ----      ----       6'0     -'1                    6'1
6900       ----      ----      ----      ----       5'3     -'1                    5'4
7000       ----      ----      ----      ----       4'6     -'1                    4'7
7100       ----      ----      ----      ----       4'2     -'1                    4'3
7200       ----      ----      ----      ----       3'6     -'1                    3'7
7300       ----      ----      ----      ----       3'3     -'1                    3'4
7400       ----      ----      ----      ----       3'0     -'1                    3'1
7500       ----      ----      ----      ----       2'5     -'1                    2'6
7600       ----      ----      ----      ----       2'3     -'1                    2'4
7700       ----      ----      ----      ----       2'1     -'1                    2'2
7800       ----      ----      ----      ----       1'7     -'1                    2'0
7900       ----      ----      ----      ----       1'6     -'1                    1'7
8000       ----      ----      ----      ----       1'4     -'1                    1'5
8100       ----      ----      ----      ----       1'3     -'1                    1'4
8200       ----      ----      ----      ----       1'2     -'1                    1'3
8300       ----      ----      ----      ----       1'1     -'1                    1'2
8400       ----      ----      ----      ----       1'0     -'1                    1'1
8500       ----      ----      ----      ----       1'0    UNCH                    1'0
WZ JLY20 Wheat Options CALL
2400       ----      ----      ----      ----     295'2    -3'0                  298'2
2500       ----      ----      ----      ----     285'2    -3'0                  288'2
2600       ----      ----      ----      ----     275'2    -3'0                  278'2
2700       ----      ----      ----      ----     265'2    -3'0                  268'2
2800       ----      ----      ----      ----     255'2    -3'0                  258'2
2900       ----      ----      ----      ----     245'2    -3'0                  248'2
3000       ----      ----      ----      ----     235'2    -3'0                  238'2
3100       ----      ----      ----      ----     225'2    -3'0                  228'2
3200       ----      ----      ----      ----     215'2    -3'0                  218'2
3300       ----      ----      ----      ----     205'2    -3'0                  208'2
3400       ----      ----      ----      ----     195'2    -3'0                  198'2
3500       ----      ----      ----      ----     185'2    -3'0                  188'2
3600       ----      ----      ----      ----     175'2    -3'0                  178'2
3700       ----      ----      ----      ----     165'2    -3'0                  168'2
3800       ----      ----      ----      ----     155'3    -2'7                  158'2
3900       ----      ----      ----      ----     145'4    -2'7                  148'3
4000       ----      ----      ----      ----     136'0    -2'6                  138'6
4100       ----      ----      ----      ----     126'4    -2'6                  129'2
4200       ----      ----      ----      ----     117'2    -2'6                  120'0
4300       ----      ----      ----      ----     108'3    -2'5                  111'0
4400       ----      ----      ----      ----      99'5    -2'5                  102'2
4500       ----      ----      ----      ----      91'2    -2'5                   93'7
4600       ----      ----      ----      ----      83'2    -2'4                   85'6
4700       ----      ----      ----      ----      75'6    -2'3                   78'1
4800       ----      ----      ----      ----      68'5    -2'2                   70'7
4900       ----      ----      ----      ----      62'0    -2'1                   64'1                     400
5000       ----      ----      ----      ----      55'7    -1'7                   57'6
5100       ----      ----      ----      ----      50'2    -1'6                   52'0
5200       ----      ----      ----      ----      45'0    -1'5                   46'5                      16
5300       ----      ----      ----      ----      40'3    -1'3                   41'6                      61
5400       ----      ----      ----      ----      36'1    -1'2                   37'3                    1058
5500       ----      ----      ----      ----      32'3    -1'0                   33'3                     226
5600       ----      ----      ----      ----      28'7    -1'0                   29'7                      41
5700       ----      ----      ----      ----      25'7     -'6                   26'5           1          40
5800       ----      ----      ----      ----      23'0     -'7                   23'7
5900       ----      ----      ----      ----      20'5     -'5                   21'2                     405
6000       ----      ----      ----      ----      18'3     -'5                   19'0                     881
6100       ----      ----      ----      ----      16'3     -'5                   17'0
6200       ----      ----      ----      ----      14'5     -'4                   15'1                      21
6300       ----      ----      ----      ----      13'0     -'4                   13'4                      11
6400       ----      ----      ----      ----      11'5     -'3                   12'0                      10
6500       ----      ----      ----      ----      10'2     -'4                   10'6
6600       ----      ----      ----      ----       9'1     -'4                    9'5
6700       ----      ----      ----      ----       8'1     -'4                    8'5
6800       ----      ----      ----      ----       7'2     -'3                    7'5
6900       ----      ----      ----      ----       6'4     -'3                    6'7
7000       ----      ----      ----      ----       5'6     -'3                    6'1                       2
7100       ----      ----      ----      ----       5'1     -'3                    5'4
7200       ----      ----      ----      ----       4'5     -'2                    4'7
7300       ----      ----      ----      ----       4'1     -'2                    4'3
7400       ----      ----      ----      ----       3'5     -'3                    4'0
7500       ----      ----      ----      ----       3'2     -'3                    3'5
7600       ----      ----      ----      ----       2'7     -'3                    3'2                       1
7700       ----      ----      ----      ----       2'5     -'2                    2'7
7800       ----      ----      ----      ----       2'3     -'2                    2'5
7900       ----      ----      ----      ----       2'1     -'2                    2'3                       1
8000       ----      ----      ----      ----       1'7     -'2                    2'1                       1
8100       ----      ----      ----      ----       1'6     -'2                    2'0                       1
8200       ----      ----      ----      ----       1'4     -'2                    1'6
8300       ----      ----      ----      ----       1'3     -'2                    1'5
8400       ----      ----      ----      ----       1'2     -'2                    1'4
8500       ----      ----      ----      ----       1'1     -'2                    1'3
8600       ----      ----      ----      ----       1'0     -'2                    1'2
8700       ----      ----      ----      ----       1'0     -'1                    1'1
8800       ----      ----      ----      ----        '7     -'1                    1'0
8900       ----      ----      ----      ----        '6     -'2                    1'0
9000       ----      ----      ----      ----        '6     -'1                     '7
WZ SEP20 Wheat Options CALL
2700       ----      ----      ----      ----     271'6    -3'4                  275'2
2800       ----      ----      ----      ----     261'6    -3'4                  265'2
2900       ----      ----      ----      ----     251'6    -3'4                  255'2
3000       ----      ----      ----      ----     241'6    -3'4                  245'2
3100       ----      ----      ----      ----     231'6    -3'4                  235'2
3200       ----      ----      ----      ----     221'6    -3'4                  225'2
3300       ----      ----      ----      ----     211'6    -3'4                  215'2
3400       ----      ----      ----      ----     201'6    -3'4                  205'2
3500       ----      ----      ----      ----     191'6    -3'4                  195'2
3600       ----      ----      ----      ----     181'6    -3'4                  185'2
3700       ----      ----      ----      ----     171'6    -3'4                  175'2
3800       ----      ----      ----      ----     161'6    -3'4                  165'2
3900       ----      ----      ----      ----     151'7    -3'4                  155'3
4000       ----      ----      ----      ----     142'3    -3'3                  145'6
4100       ----      ----      ----      ----     133'0    -3'3                  136'3
4200       ----      ----      ----      ----     123'7    -3'2                  127'1
4300       ----      ----      ----      ----     115'0    -3'2                  118'2
4400       ----      ----      ----      ----     106'3    -3'1                  109'4
4500       ----      ----      ----      ----      98'2    -2'7                  101'1
4600       ----      ----      ----      ----      90'3    -2'6                   93'1
4700       ----      ----      ----      ----      82'7    -2'5                   85'4
4800       ----      ----      ----      ----      75'6    -2'3                   78'1
4900       ----      ----      ----      ----      69'0    -2'2                   71'2
5000       ----      ----      ----      ----      62'6    -2'1                   64'7
5100       ----      ----      ----      ----      56'6    -2'1                   58'7
5200       ----      ----      ----      ----      51'3    -2'0                   53'3
5300       ----      ----      ----      ----      46'2    -2'0                   48'2
5400       ----      ----      ----      ----      41'6    -2'0                   43'6                     880
5500       ----      ----      ----      ----      37'5    -1'7                   39'4
5600       ----      ----      ----      ----      33'7    -1'7                   35'6
5700       ----      ----      ----      ----      30'5    -1'5                   32'2
5800       ----      ----      ----      ----      27'5    -1'4                   29'1
5900       ----      ----      ----      ----      24'7    -1'3                   26'2
6000       ----      ----      ----      ----      22'4    -1'2                   23'6                     880
6100       ----      ----      ----      ----      20'2    -1'1                   21'3
6200       ----      ----      ----      ----      18'2    -1'0                   19'2
6300       ----      ----      ----      ----      16'4     -'7                   17'3
6400       ----      ----      ----      ----      14'6     -'7                   15'5
6500       ----      ----      ----      ----      13'2     -'7                   14'1
6600       ----      ----      ----      ----      12'0     -'5                   12'5
6700       ----      ----      ----      ----      10'6     -'5                   11'3
6800       ----      ----      ----      ----       9'5     -'5                   10'2
6900       ----      ----      ----      ----       8'5     -'4                    9'1
7000       ----      ----      ----      ----       7'6     -'4                    8'2
7100       ----      ----      ----      ----       7'0     -'3                    7'3
7200       ----      ----      ----      ----       6'2     -'3                    6'5
7300       ----      ----      ----      ----       5'5     -'3                    6'0
7400       ----      ----      ----      ----       5'0     -'3                    5'3
7500       ----      ----      ----      ----       4'4     -'3                    4'7
7600       ----      ----      ----      ----       4'1     -'2                    4'3
7700       ----      ----      ----      ----       3'6     -'2                    4'0
7800       ----      ----      ----      ----       3'3     -'2                    3'5
7900       ----      ----      ----      ----       3'0     -'2                    3'2
8000       ----      ----      ----      ----       2'6     -'2                    3'0
8100       ----      ----      ----      ----       2'4     -'1                    2'5
8200       ----      ----      ----      ----       2'2     -'1                    2'3
8300       ----      ----      ----      ----       2'0     -'2                    2'2
8400       ----      ----      ----      ----       1'7     -'1                    2'0
8500       ----      ----      ----      ----       1'5     -'2                    1'7

WZ AUG19 Wheat Options PUT
3300       ----      ----      ----      ----        '1    UNCH                     '1                       3
3350       ----      ----      ----      ----        '1    UNCH                     '1
3400       ----      ----      ----      ----        '1    UNCH                     '1
3450       ----      ----      ----      ----        '1    UNCH                     '1
3500       ----      ----      ----      ----        '1    UNCH                     '1
3550       ----      ----      ----      ----        '1    UNCH                     '1                      12
3600       ----      ----      ----      ----        '1    UNCH                     '1                       5
3650       ----      ----      ----      ----        '1    UNCH                     '1                      31
3700       ----      ----      ----      ----        '1    UNCH                     '1                      28
3750       ----      ----      ----      ----        '1    UNCH                     '1                       2
3800       ----      ----      ----      ----        '1    UNCH                     '1                      15
3850       ----      ----      ----      ----        '1    UNCH                     '1                      60
3900       ----      ----      ----      ----        '1    UNCH                     '1                     199
3950       ----      ----      ----      ----        '1    UNCH                     '1                      53
4000       ----      ----      ----      ----        '1    UNCH                     '1                     259
4050       ----      ----      ----      ----        '1    UNCH                     '1           4         290
4100       ----      ----      ----      ----        '1    UNCH                     '1                     206
4150       ----      ----      ----      ----        '1    UNCH                     '1                     144
4200       ----      ----      ----      ----        '1    UNCH                     '1                     172
4250       ----      ----      ----      ----        '1    UNCH                     '1                     240
4300       ----      ----      ----      ----        '1    UNCH                     '1                     583
4350       ----      ----      ----      ----        '1    UNCH           2         '1                     229
4400       ----      ----      ----      ----        '1    UNCH           2         '1                     471
4450       ----      ----      ----      ----        '1    UNCH                     '1                     289
4500       ----      ----      ----      ----        '1    UNCH                     '1                    1072
4550       ----      ----      ----      ----        '1    UNCH                     '1                     349
4600         '1        '1        '1      ----        '1    UNCH          40         '1                    1422
4650         '1        '1        '1      ----        '2    UNCH           1         '2          81         489
4700         '2        '4B       '2      ----        '3    UNCH          60         '3         130        1757
4750         '2        '7B       '2      ----        '4     -'1          38         '5          31        1150
4800         '6       1'3B       '5A     ----        '7     -'1         130        1'0         286        3190
4850        1'2       2'1B       '7A     ----       1'3     -'1         385        1'4         218        1579
4900        1'6       3'3B      1'3A     ----       2'2     -'1         187        2'3         734        4609
4950        4'2       5'1B      2'1A     ----       3'5    UNCH         175        3'5         114        1874
5000        5'2       7'1B      3'3A      5'7       5'3     +'1         775        5'2        2604        4743
5050        8'0       9'6B      4'7A     ----       7'5     +'3          51        7'2         128        1427
5100        9'1      12'5B      7'0A     ----      10'3     +'4         171        9'7          48        1525
5150       11'7      16'0B      9'3A     ----      13'4     +'5         198       12'7           7        1529
5200       13'2      19'6B     12'3A     ----      17'2     +'7          26       16'3          32        2856
5250       16'6      23'5B     16'0A     ----      21'2    +1'0           1       20'2           2         912
5300       ----      28'1B     19'6A     ----      25'5    +1'2                   24'3                    1744
5350       ----      32'6B     24'1A     ----      30'2    +1'3           1       28'7                    1337
5400       ----      37'4B     28'4A     ----      35'0    +1'5                   33'3                    1210
5450       ----      42'3B     33'1A     ----      39'7    +1'6                   38'1                     849
5500       ----      47'2B     37'7A     ----      44'6    +1'6                   43'0           4         389
5550       ----      52'1B     42'5A     ----      49'6    +1'7                   47'7                     153
5600       ----      57'0B     47'4A     ----      54'5    +1'7                   52'6                      74
5650       ----      62'1B     52'4A     ----      59'5    +2'0                   57'5                       1
5700       ----      67'0B     57'3A     ----      64'5    +2'0                   62'5                      11
5750       ----      72'0B     62'3A     ----      69'5    +2'0                   67'5           1           6
5800       ----      77'1B     67'3A     ----      74'5    +2'0                   72'5                       7
5850       ----      82'0B     72'2A     ----      79'5    +2'0                   77'5                       3
5900       ----      87'0B     77'2A     ----      84'5    +2'0                   82'5                       3
5950       ----      92'0B     82'2A     ----      89'5    +2'0                   87'5
6000       ----      97'0B     87'2A     ----      94'5    +2'0                   92'5                      21
6050       ----     102'0B     92'2A     ----      99'5    +2'0                   97'5                       1
6100       ----     107'0B     97'2A     ----     104'5    +2'0                  102'5           1           2
6150       ----     112'0B    102'2A     ----     109'5    +2'0                  107'5           2           2
6200       ----     117'0B    107'2A     ----     114'5    +2'0                  112'5
6250       ----     122'0B    112'2A     ----     119'5    +2'0                  117'5                       1
6300       ----     127'0B    117'2A     ----     124'5    +2'0                  122'5                       1
6350       ----     132'0B    122'2A     ----     129'5    +2'0                  127'5
6400       ----     137'0B    127'2A     ----     134'5    +2'0                  132'5
6450       ----     142'0B    132'2A     ----     139'5    +2'0                  137'5
6500       ----     147'0B    137'2A     ----     144'5    +2'0                  142'5
6550       ----     152'0B    142'4A     ----     149'5    +2'0                  147'5
6600       ----     157'0B    147'4A     ----     154'5    +2'0                  152'5
6650       ----     162'0B    152'4A     ----     159'5    +2'0                  157'5                       1
6700       ----     167'0B    157'4A     ----     164'5    +2'0                  162'5                       1
6750       ----     172'0B    162'4A     ----     169'5    +2'0                  167'5                       2
6800       ----     177'0B    167'4A     ----     174'5    +2'0                  172'5
WZ SEP19 Wheat Options PUT
2200       ----      ----      ----      ----        '1    UNCH                     '1
2300       ----      ----      ----      ----        '1    UNCH                     '1
2400       ----      ----      ----      ----        '1    UNCH                     '1
2500       ----      ----      ----      ----        '1    UNCH                     '1
2600       ----      ----      ----      ----        '1    UNCH                     '1
2700       ----      ----      ----      ----        '1    UNCH                     '1
2800       ----      ----      ----      ----        '1    UNCH                     '1
2900       ----      ----      ----      ----        '1    UNCH                     '1
3000       ----      ----      ----      ----        '1    UNCH                     '1
3100       ----      ----      ----      ----        '1    UNCH                     '1                      22
3200       ----      ----      ----      ----        '1    UNCH                     '1                       7
3300       ----      ----      ----      ----        '1    UNCH                     '1                      79
3400       ----      ----      ----      ----        '1    UNCH                     '1                     220
3500       ----      ----      ----      ----        '1    UNCH                     '1                     886
3600       ----      ----      ----      ----        '1    UNCH                     '1                     198
3700       ----      ----      ----      ----        '1    UNCH                     '1                     354
3750       ----      ----      ----      ----        '1    UNCH                     '1
3800       ----      ----      ----      ----        '1    UNCH                     '1                     264
3850       ----      ----      ----      ----        '1    UNCH                     '1                      29
3900       ----      ----      ----      ----        '1    UNCH                     '1                     362
3950       ----      ----      ----      ----        '1    UNCH                     '1                      56
4000       ----      ----      ----      ----        '1    UNCH                     '1         200        2664
4050       ----      ----      ----      ----        '1    UNCH                     '1                     137
4100       ----      ----      ----      ----        '1    UNCH                     '1           7         764
4150       ----      ----      ----      ----        '2    UNCH                     '2                      68
4200       ----      ----      ----      ----        '3    UNCH           5         '3                    3531
4250       ----      ----      ----      ----        '3    UNCH                     '3                     168
4300         '5        '5        '4A     ----        '4     -'1          20         '5          82        3223
4350       ----      ----        '5A     ----        '6    UNCH                     '6           1         131
4400       ----      ----        '7A     ----       1'0    UNCH          10        1'0          53        1484
4450       ----       1'3B      1'0A     ----       1'2    UNCH           1        1'2          33         182
4500        1'6       1'6       1'2A     ----       1'5    UNCH           7        1'5           4        3072
4550        2'0       2'3B      1'5A     ----       2'1    UNCH          69        2'1          21         296
4600        2'5       3'1B      2'1A     ----       2'6    UNCH          31        2'6          58        3576
4650        3'4       3'7B      2'6A     ----       3'5     +'1           7        3'4           7         557
4700        5'1       5'1       3'3A     ----       4'4     +'1          81        4'3           5        4055
4750        4'5       6'3B      4'2A     ----       5'6     +'3          60        5'3          11         986
4800        5'4       7'7B      5'3A      6'7       7'1     +'4         805        6'5         206        3828
4850        8'0       9'5B      6'5A     ----       8'6     +'4           1        8'2          10         743
4900        9'1      11'5B      8'1A     ----      10'5     +'6         265        9'7          62        2463
4950       11'4      13'7B      9'7A     ----      12'6     +'7          17       11'7          10         376
5000       15'4      16'2B     11'7A     ----      15'1    +1'0         406       14'1         290        6197
5050       16'1      19'1B     14'1A     ----      17'5    +1'0          53       16'5         154         586
5100       20'2      22'1B     16'4A     ----      20'4    +1'1         192       19'3         126        3172
5150       ----      25'2B     19'2A     ----      23'4    +1'1           1       22'3                     421
5200       ----      28'4B     22'2A     ----      26'6    +1'2                   25'4         211        3092
